family_id,month_index,income,housing,utilities,groceries,transport,insurance,childcare,healthcare,entertainment,dining_out,clothing,education,debt_min_payments,savings_contrib,investment_contrib,unexpected_spend,other_variable,total_spend,cashflow,out_of_norm_any,out_of_norm_category,negative_cashflow_flag,negative_trend_warning,next_3_months_cashflow_risk
1,1,8809.841943,1866.699503,534.1408002,743.2346586,585.0793948,412.203627,315.0639809,402.4739715,278.9547739,395.4915615,254.1220782,273.5111378,546.6980343,367.7849019,278.5344514,226.6069611,204.5679293,7685.167765,1124.674178,0,,0,0,0
1,2,8660.773606,1963.277738,561.7758725,781.6877097,615.349899,433.5299833,331.3645815,423.2969405,293.387177,415.9532785,267.2697014,287.6619012,574.9827856,386.8131475,292.9451081,238.3310229,215.1517482,8082.778595,577.995011,0,,0,0,0
1,3,9216.736088,2001.065568,572.5885512,796.7331014,627.193734,441.8742726,337.7424609,431.4442712,299.0340932,423.9592634,272.4139263,293.1986212,586.049662,394.2582631,298.5835157,242.9182558,219.2928422,8238.350402,978.3856856,0,,0,0,0
1,4,8599.136433,1786.836238,511.2885799,711.4367465,560.0478614,394.5682617,301.5845546,385.2548715,267.0202129,378.5711909,406.8065933,261.8094727,523.3085761,352.0499092,266.6178732,216.9120039,195.815871,7519.928816,1079.207617,1,clothing,0,0,0
1,5,9019.500188,2059.653136,589.3529048,820.0600007,645.5568283,454.8115494,347.6309472,444.0761764,307.7892687,436.3720213,280.3897116,301.7829447,603.2081325,405.8014295,307.3254992,250.0304615,225.7133387,8479.554351,539.9458374,0,,0,0,0
1,6,8960.407608,1880.589343,538.1152643,748.7649597,589.4328856,415.2707743,317.4083262,405.4687219,387.0195882,398.4343568,256.0129636,275.5462945,550.765935,370.5215359,280.6069858,228.2931106,206.0900895,7848.341135,1112.066474,1,entertainment,0,0,0
1,7,8840.248701,1946.068028,556.8514549,774.8355879,609.9558619,429.7297441,328.4599043,419.5864021,290.8154023,412.3071133,264.9268674,285.1403131,569.9425988,383.422419,290.3772085,236.2418596,213.26577,8011.926536,828.3221652,0,,0,0,0
1,8,8809.345859,2026.473409,579.858797,806.8493454,635.1573103,447.484819,342.0308294,436.9223861,302.8309756,429.3423401,275.8728082,296.9214096,593.4908256,399.2642215,302.374677,246.0026266,222.0772375,8342.954018,466.3918411,0,,0,0,0
1,9,8783.95692,1998.452584,571.8408671,795.6927301,626.3747466,441.2972747,337.301438,430.8808927,298.6436155,423.4056589,272.0582091,292.8157634,585.2844004,393.743442,298.1936264,242.601054,219.0064904,8227.592793,556.3641275,0,,0,0,0
1,10,8710.290953,1937.159629,554.3023892,771.2886693,607.1637034,427.7625959,326.956333,417.6656865,289.484154,410.4197196,263.7141275,283.8350433,567.3336066,381.6672491,289.0479661,235.1604294,212.289516,7975.250818,735.0401348,0,,0,0,0
1,11,8852.542675,1766.030075,505.3350664,703.1526807,553.5265883,389.9738555,298.0728632,380.7689116,263.9109934,374.1630567,240.4175026,258.7609277,517.2151002,347.9505924,263.5133385,214.3862511,193.5357645,7270.713568,1581.829108,0,,0,0,0
1,12,8540.393819,1814.296942,519.146236,722.3703475,568.6548667,400.6321205,306.2194082,391.1755989,271.12387,384.3892012,246.9882853,265.8330493,531.3509596,357.4603314,270.715347,220.245581,198.8252357,7469.427381,1070.966438,0,,0,0,0
1,13,8417.770805,1809.802821,517.86028,720.5809933,567.2462749,399.639731,305.4608846,390.2066337,270.4522801,383.4370464,246.3764807,265.1745651,530.0347718,356.574881,270.044769,219.7000197,198.3327338,7450.925166,966.8456386,0,,0,0,0
